type,status,cost,number
standard 200$,available,200,100,
standard 200$,available,200,101,
standard 200$,available,200,102,
standard 200$,available,200,103,
standard 200$,available,200,104,
standard 200$,available,200,105,
standard 200$,available,200,106,
standard 200$,available,200,107,
standard 200$,available,200,108,
standard 200$,available,200,109,
deluxe 600$,available,600,110,
deluxe 600$,available,600,111,
deluxe 600$,available,600,112,
deluxe 600$,available,600,113,
deluxe 600$,available,600,114,
deluxe 600$,available,600,115,
deluxe 600$,available,600,116,
deluxe 600$,available,600,117,
deluxe 600$,available,600,118,
deluxe 600$,available,600,119,
family 400$,available,400,120,
family 400$,available,400,121,
family 400$,available,400,122,
family 400$,available,400,123,
family 400$,available,400,124,
family 400$,available,400,125,
family 400$,available,400,126,
family 400$,available,400,127,
family 400$,available,400,128,
family 400$,available,400,129,
